Time	normal	yingdui200	yingdui50	lianggeqianzhui	5ge	3ge	1ge	9ge
1	0.884876543	0.884876543	0.884876543	0.886419753	0.877525253	0.894871795	0.88962963	0.871428571
2	0.965432099	0.965432099	0.965432099	0.988888889	0.990909091	0.976068376	0.979259259	0.971428571
3	0.988888889	0.988888889	0.988888889	0.977777778	0.980808081	0.982905983	0.972592593	1
4	0.998765432	0.998765432	0.998765432	0.97654321	0.963636364	0.977777778	0.994074074	0.985714286
5	0.966666667	0.966666667	0.966666667	0.954320988	1	0.976068376	0.972592593	0.971428571
6	0.966666667	0.966666667	0.966666667	0.988888889	0.970707071	0.984615385	0.965925926	0.971428571
7	1	1	1	0.988888889	1	0.983760684	0.992592593	0.985714286
8	0.977777778	0.977777778	0.977777778	1.001234568	0.945454545	0.967307692	0.965185185	0.941269841
9	1.001234568	1.001234568	1.001234568	0.988888889	0.990909091	0.984615385	0.96	0.957142857
10	0.988888889	0.988888889	0.988888889	1	1.009090909	0.991452991	1.020740741	0.985714286
11	0.990123457	0.990123457	0.990123457	0.988888889	0.981818182	1	0.973333333	1
12	0.988888889	0.988888889	0.988888889	0.943209877	1.001010101	0.977777778	0.994074074	1.035714286
13	0.975308642	0.975308642	0.975308642	0.966666667	0.982828283	0.984615385	0.994074074	0.987301587
14	0.988888889	0.988888889	0.988888889	1	0.972727273	0.976923077	0.987407407	0.971428571
15	0.988888889	0.988888889	0.988888889	0.977777778	0.961616162	0.958119658	0.94962963	0.985714286
16	0.988888889	0.988888889	0.988888889	0.965432099	0.98989899	0.984615385	0.986666667	0.998015873
17	0.988888889	0.988888889	0.988888889	0.987654321	0.979545455	0.983760684	0.979259259	0.957142857
18	0.977777778	0.977777778	0.977777778	0.966666667	1	0.961538462	0.973333333	1
19	0.966666667	0.966666667	0.966666667	1.011111111	0.972727273	0.969230769	0.972592593	0.957142857
20	0.988888889	0.988888889	0.988888889	0.966666667	0.980808081	0.976923077	0.993333333	0.971428571
21	1.001234568	1.001234568	1.001234568	0.977777778	0.981818182	0.976923077	0.971111111	0.957142857
22	0.977777778	0.977777778	0.977777778	0.977777778	0.981818182	0.984615385	0.986666667	1.014285714
23	0.997530864	0.997530864	0.997530864	0.965432099	0.97979798	0.976068376	0.971851852	0.955555556
24	0.965432099	0.965432099	0.965432099	1.012345679	0.957828283	1.001923077	0.981666667	0.985714286
25	0.977777778	0.977777778	0.977777778	0.930864198	0.972727273	0.969230769	0.986666667	0.914285714
26	1	1	1	0.987654321	0.981818182	1.016239316	1	0.941269841
27	0.988888889	0.988888889	0.988888889	1	1.02020202	0.976068376	1.007407407	0.985714286
28	0.988888889	0.988888889	0.988888889	1	0.955555556	0.985470085	0.981481481	0.971428571
29	1.012345679	1.012345679	1.012345679	0.973765432	0.972727273	0.953846154	0.952592593	0.942857143
30	0.964197531	0.964197531	0.964197531	0.977777778	0.963636364	1.008547009	1	1
31	1	1	1	0.988888889	1.001010101	0.984615385	0.993333333	1.014285714
32	0.977777778	0.977777778	0.977777778	0.966666667	0.942424242	0.967521368	0.965185185	0.957142857
33	1	1	1	0.975308642	1	0.992307692	0.993333333	0.985714286
34	0.977777778	0.977777778	0.977777778	1	0.963636364	0.952991453	0.952592593	1
35	1.012345679	1.012345679	1.012345679	0.965432099	0.963636364	0.961538462	0.953333333	1.053968254
36	0.955555556	0.955555556	0.955555556	0.955555556	0.972727273	0.976068376	0.985925926	0.957142857
37	0.966666667	0.966666667	0.966666667	0.966666667	0.970707071	0.984615385	1	1.03015873
