Time Node entropy gini t05 enrate ginirate t05rate apa cusum m_cusum
1 good-leaf-1 3.96982 0.934256 5.96206 inf inf inf 0 0 0
1 evil-leaf-2 3.96982 0.934256 5.96206 inf inf inf 0 0 0
1 evil-leaf-3 3.85217 0.927336 5.67791 inf inf inf 0 0 0
1 good-leaf-4 3.96982 0.934256 5.96206 inf inf inf 0 0 0
1 evil-leaf-5 3.85217 0.927336 5.67791 inf inf inf 0 0 0
1 good-leaf-6 4.08746 0.941176 6.24621 inf inf inf 0 0 0
1 good-leaf-7 3.73452 0.920415 5.39377 inf inf inf 0 0 0
1 good-leaf-8 3.85217 0.927336 5.67791 inf inf inf 0 0 0
1 evil-leaf-9 3.96982 0.934256 5.96206 inf inf inf 0 0 0
1 evil-leaf-10 3.80776 0.920415 5.63117 inf inf inf 0 0 0
1 good-leaf-11 3.96982 0.934256 5.96206 inf inf inf 0 0 0
1 good-leaf-12 3.96982 0.934256 5.96206 inf inf inf 0 0 0
1 good-leaf-13 3.85217 0.927336 5.67791 inf inf inf 0 0 0
1 good-leaf-14 3.96982 0.934256 5.96206 inf inf inf 0 0 0
1 evil-leaf-15 4.08746 0.941176 6.24621 inf inf inf 0 0 0
1 evil-leaf-16 3.96982 0.934256 5.96206 inf inf inf 0 0 0
1 gw-1 4.62505 0.956005 8.08187 inf inf inf 0 0 0
1 gw-2 4.6645 0.959184 8.14019 inf inf inf 0 0 0
1 gw-3 4.6645 0.959184 8.14019 inf inf inf 0 0 0
1 gw-4 4.51315 0.953627 7.68255 inf inf inf 0 0 0
1 gw-5 4.60674 0.957476 7.94137 inf inf inf 0 0 0
1 gw-6 4.72005 0.960761 8.33522 inf inf inf 0 0 0
1 gw-7 4.55609 0.953627 7.86431 inf inf inf 0 0 0
1 gw-8 4.6645 0.959184 8.14019 inf inf inf 0 0 0
1 gw-9 5.28434 0.971876 10.7371 inf inf inf 0 0 0
1 gw-10 5.22311 0.971164 10.4417 inf inf inf 0 0 0
1 gw-11 5.11915 0.968316 10.0669 inf inf inf 0 0 0
1 gw-12 5.16229 0.969136 10.2394 inf inf inf 0 0 0
1 gw-13 5.70598 0.977849 12.9775 inf inf inf 0 0 0
1 gw-14 5.63472 0.976676 12.6642 inf inf inf 0 0 0
1 gw-15 6.02023 0.981722 14.913 inf inf inf 0 0 0
1 gw-16 6.04494 0.982325 14.9865 inf inf inf 0 0 0
1 prod-bb-1 6.04494 0.982325 14.9865 inf inf inf 0 0 0
2 good-leaf-1 3.90689 0.933333 5.74597 0.0158509 0.000987654 0.0362452 0 0 0.0151739
2 evil-leaf-2 3.77356 0.924444 5.44347 0.0494377 0.0105021 0.0869825 0 0 0.0142721
2 evil-leaf-3 3.77356 0.924444 5.44347 0.0204071 0.00311774 0.041291 0 0 0.0136806
2 good-leaf-4 3.90689 0.933333 5.74597 0.0158509 0.000987654 0.0362452 0 0 0.0151739
2 evil-leaf-5 3.77356 0.924444 5.44347 0.0204071 0.00311774 0.041291 0 0 0.0136806
2 good-leaf-6 3.24022 0.871111 4.41067 0.207277 0.0744444 0.293864 0 0 0.0116292
2 good-leaf-7 3.77356 0.924444 5.44347 0.0104526 0.00437761 0.00921454 0 0 0.0130803
2 good-leaf-8 3.77356 0.924444 5.44347 0.0204071 0.00311774 0.041291 0 0 0.0136806
2 evil-leaf-9 3.90689 0.933333 5.74597 0.0158509 0.000987654 0.0362452 0 0 0.0151739
2 evil-leaf-10 3.77356 0.924444 5.44347 0.00898331 0.00437761 0.0333319 0 0 0.0135825
2 good-leaf-11 3.45656 0.897778 4.7887 0.129288 0.0390453 0.196805 0 0 0.0123202
2 good-leaf-12 3.90689 0.933333 5.74597 0.0158509 0.000987654 0.0362452 0 0 0.0151739
2 good-leaf-13 3.77356 0.924444 5.44347 0.0204071 0.00311774 0.041291 0 0 0.0136806
2 good-leaf-14 3.64022 0.915556 5.14097 0.0830245 0.0200165 0.13772 0 0 0.0133704
