Time Node entropy gini t05 enrate ginirate t05rate apa cusum
1 good-leaf-1 3.45943 0.909091 4.63325 inf inf inf 0 0
1 evil-leaf-2 3.45943 0.909091 4.63325 inf inf inf 0 0
1 evil-leaf-3 3.27761 0.892562 4.28001 inf inf inf 0 0
1 good-leaf-4 3.27761 0.892562 4.28001 inf inf inf 0 0
1 evil-leaf-5 3.45943 0.909091 4.63325 inf inf inf 0 0
1 good-leaf-6 3.45943 0.909091 4.63325 inf inf inf 0 0
1 good-leaf-7 3.27761 0.892562 4.28001 inf inf inf 0 0
1 good-leaf-8 3.27761 0.892562 4.28001 inf inf inf 0 0
1 evil-leaf-9 3.45943 0.909091 4.63325 inf inf inf 0 0
1 evil-leaf-10 3.45943 0.909091 4.63325 inf inf inf 0 0
1 good-leaf-11 3.45943 0.909091 4.63325 inf inf inf 0 0
1 good-leaf-12 3.45943 0.909091 4.63325 inf inf inf 0 0
1 good-leaf-13 3.27761 0.892562 4.28001 inf inf inf 0 0
1 good-leaf-14 3.27761 0.892562 4.28001 inf inf inf 0 0
1 evil-leaf-15 3.45943 0.909091 4.63325 inf inf inf 0 0
1 evil-leaf-16 3.27761 0.892562 4.28001 inf inf inf 0 0
1 gw-1 4.08746 0.941176 6.24621 inf inf inf 0 0
1 gw-2 3.85217 0.927336 5.67791 inf inf inf 0 0
1 gw-3 4.08746 0.941176 6.24621 inf inf inf 0 0
1 gw-4 3.875 0.929688 5.70711 inf inf inf 0 0
1 gw-5 4.08746 0.941176 6.24621 inf inf inf 0 0
1 gw-6 4.08746 0.941176 6.24621 inf inf inf 0 0
1 gw-7 3.85217 0.927336 5.67791 inf inf inf 0 0
1 gw-8 3.69012 0.913495 5.34702 inf inf inf 0 0
1 gw-9 4.63162 0.957336 8.08343 inf inf inf 0 0
1 gw-10 4.64022 0.957778 8.09886 inf inf inf 0 0
1 gw-11 4.63162 0.957336 8.08343 inf inf inf 0 0
1 gw-12 4.54275 0.953174 7.83839 inf inf inf 0 0
1 gw-13 5.31471 0.972652 10.8734 inf inf inf 0 0
1 gw-14 5.2067 0.969679 10.4898 inf inf inf 0 0
1 gw-15 5.68975 0.9782 12.8528 inf inf inf 0 0
1 gw-16 5.69752 0.978365 12.8757 inf inf inf 0 0
1 prod-bb-1 5.69752 0.978365 12.8757 inf inf inf 0 0
2 good-leaf-1 3.16993 0.888889 4 0.0836862 0.0222222 0.136675 0 0
2 evil-leaf-2 2.9477 0.864198 3.60948 0.147923 0.0493827 0.220962 0 0
2 evil-leaf-3 3.16993 0.888889 4 0.0328557 0.00411523 0.0654221 0 0
2 good-leaf-4 2.9477 0.864198 3.60948 0.100656 0.0317787 0.156666 0 0
2 evil-leaf-5 2.9477 0.864198 3.60948 0.147923 0.0493827 0.220962 0 0
2 good-leaf-6 2.9477 0.864198 3.60948 0.147923 0.0493827 0.220962 0 0
2 good-leaf-7 3.16993 0.888889 4 0.0328557 0.00411523 0.0654221 0 0
2 good-leaf-8 2.9477 0.864198 3.60948 0.100656 0.0317787 0.156666 0 0
2 evil-leaf-9 3.16993 0.888889 4 0.0836862 0.0222222 0.136675 0 0
2 evil-leaf-10 2.9477 0.864198 3.60948 0.147923 0.0493827 0.220962 0 0
2 good-leaf-11 2.9477 0.864198 3.60948 0.147923 0.0493827 0.220962 0 0
2 good-leaf-12 3.16993 0.888889 4 0.0836862 0.0222222 0.136675 0 0
2 good-leaf-13 3.16993 0.888889 4 0.0328557 0.00411523 0.0654221 0 0
2 good-leaf-14 3.16993 0.888889 4 0.0328557 0.00411523 0.0654221 0 0
2 evil-leaf-15 2.6416 0.814815 3.1547 0.236405 0.103704 0.319117 0 0
