Time Node entropy gini t05 enrate ginirate t05rate apa cusum
1 good-leaf-1 3.54659 0.911243 4.88617 inf inf inf 0 0
1 evil-leaf-2 3.70044 0.923077 5.2111 inf inf inf 0 0
1 evil-leaf-3 3.70044 0.923077 5.2111 inf inf inf 0 0
1 good-leaf-4 3.54659 0.911243 4.88617 inf inf inf 0 0
1 evil-leaf-5 3.54659 0.911243 4.88617 inf inf inf 0 0
1 good-leaf-6 3.39275 0.899408 4.56123 inf inf inf 0 0
1 good-leaf-7 3.54659 0.911243 4.88617 inf inf inf 0 0
1 good-leaf-8 3.54659 0.911243 4.88617 inf inf inf 0 0
1 evil-leaf-9 3.54659 0.911243 4.88617 inf inf inf 0 0
1 evil-leaf-10 3.70044 0.923077 5.2111 inf inf inf 0 0
1 good-leaf-11 3.70044 0.923077 5.2111 inf inf inf 0 0
1 good-leaf-12 3.39275 0.899408 4.56123 inf inf inf 0 0
1 good-leaf-13 3.54659 0.911243 4.88617 inf inf inf 0 0
1 good-leaf-14 3.70044 0.923077 5.2111 inf inf inf 0 0
1 evil-leaf-15 3.70044 0.923077 5.2111 inf inf inf 0 0
1 evil-leaf-16 3.54659 0.911243 4.88617 inf inf inf 0 0
1 gw-1 4.34965 0.94896 7.10308 inf inf inf 0 0
1 gw-2 4.14291 0.937618 6.57431 inf inf inf 0 0
1 gw-3 4.15239 0.938017 6.5904 inf inf inf 0 0
1 gw-4 4.39232 0.952381 7.16515 inf inf inf 0 0
1 gw-5 4.43661 0.952741 7.34737 inf inf inf 0 0
1 gw-6 4.29708 0.947846 6.90949 inf inf inf 0 0
1 gw-7 4.14291 0.937618 6.57431 inf inf inf 0 0
1 gw-8 4.43661 0.952741 7.34737 inf inf inf 0 0
1 gw-9 4.80292 0.959184 8.8683 inf inf inf 0 0
1 gw-10 4.87193 0.96125 9.09045 inf inf inf 0 0
1 gw-11 4.99768 0.966092 9.49536 inf inf inf 0 0
1 gw-12 4.89708 0.961601 9.22485 inf inf inf 0 0
1 gw-13 5.3218 0.968771 11.2853 inf inf inf 0 0
1 gw-14 5.52806 0.975313 12.0151 inf inf inf 0 0
1 gw-15 5.84131 0.978605 13.9434 inf inf inf 0 0
1 gw-16 5.89248 0.980281 14.0693 inf inf inf 0 0
1 prod-bb-1 5.89248 0.980281 14.0693 inf inf inf 0 0
2 good-leaf-1 3.12193 0.88 3.95407 0.119739 0.0342857 0.190762 0 0
2 evil-leaf-2 3.32193 0.9 4.32456 0.102288 0.025 0.170127 0 0
2 evil-leaf-3 3.32193 0.9 4.32456 0.102288 0.025 0.170127 0 0
2 good-leaf-4 3.12193 0.88 3.95407 0.119739 0.0342857 0.190762 0 0
2 evil-leaf-5 3.32193 0.9 4.32456 0.0633468 0.0123377 0.114939 0 0
2 good-leaf-6 3.32193 0.9 4.32456 0.0208737 0.000657895 0.0518885 0 0
2 good-leaf-7 2.92193 0.86 3.58359 0.176131 0.0562338 0.266585 0 0
2 good-leaf-8 2.84644 0.84 3.52263 0.197416 0.0781818 0.27906 0 0
2 evil-leaf-9 3.12193 0.88 3.95407 0.119739 0.0342857 0.190762 0 0
2 evil-leaf-10 3.32193 0.9 4.32456 0.102288 0.025 0.170127 0 0
2 good-leaf-11 3.12193 0.88 3.95407 0.156336 0.0466667 0.241222 0 0
2 good-leaf-12 2.92193 0.86 3.58359 0.138772 0.0438158 0.214338 0 0
2 good-leaf-13 2.92193 0.86 3.58359 0.176131 0.0562338 0.266585 0 0
2 good-leaf-14 3.32193 0.9 4.32456 0.102288 0.025 0.170127 0 0
2 evil-leaf-15 2.92193 0.86 3.58359 0.210384 0.0683333 0.312317 0 0
2 evil-leaf-16 3.32193 0.9 4.32456 0.0633468 0.0123377 0.114939 0 0
2 gw-1 4.0374 0.936288 6.18024 0.0717869 0.0133538 0.129921 0 0
2 gw-2 4.12193 0.94 6.42033 0.00506566 0.00254032 0.023422 0 0
2 gw-3 4.02193 0.935 6.15836 0.0314188 0.00321586 0.0655559 0 0
2 gw-4 3.72548 0.907407 5.54247 0.151819 0.0472222 0.226468 0 0
2 gw-5 4.24793 0.947368 6.7178 0.0425275 0.0056391 0.0856871 0 0
2 gw-6 3.88418 0.925 5.85328 0.0960875 0.0241029 0.152863 0 0
2 gw-7 4.0374 0.936288 6.18024 0.0254684 0.00141855 0.0599407 0 0
2 gw-8 3.98418 0.93 6.11526 0.101975 0.023869 0.167695 0 0
2 gw-9 4.70175 0.955679 8.50835 0.0210641 0.00365415 0.0405891 0 0
2 gw-10 4.91878 0.964207 9.17081 0.00961686 0.00307667 0.00884053 0 0
2 gw-11 4.75323 0.957265 8.69301 0.0489129 0.00913646 0.0844997 0 0
2 gw-12 4.77424 0.958449 8.72967 0.0250839 0.00327798 0.0536784 0 0
2 gw-13 5.45319 0.974292 11.6275 0.0246894 0.00569904 0.0303225 0 0
2 gw-14 5.3863 0.97126 11.492 0.0256436 0.00415468 0.0435316 0 0
2 gw-15 5.79727 0.978141 13.6466 0.00754002 0.000473968 0.021285 0 0
2 gw-16 5.80966 0.978503 13.6809 0.0140559 0.00181327 0.0276043 0 0
2 prod-bb-1 5.80966 0.978503 13.6809 0.0140559 0.00181327 0.0276043 0 0
3 good-leaf-1 3.12193 0.88 3.95407 0 0 2.24624e-16 1 0
3 evil-leaf-2 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
3 evil-leaf-3 3.32193 0.9 4.32456 0 0 0 1 0
3 good-leaf-4 3.12193 0.88 3.95407 0 0 0 1 0
3 evil-leaf-5 2.84644 0.84 3.52263 0.143136 0.0666667 0.185434 1 0
3 good-leaf-6 2.92193 0.86 3.58359 0.120412 0.0444444 0.17134 1 0
3 good-leaf-7 3.12193 0.88 3.95407 0.068448 0.0232558 0.103384 1 0
3 good-leaf-8 3.32193 0.9 4.32456 0.167047 0.0714286 0.227648 1 0
3 evil-leaf-9 3.12193 0.88 3.95407 1.42248e-16 0 2.24624e-16 1 0
3 evil-leaf-10 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
3 good-leaf-11 3.12193 0.88 3.95407 0 0 0 1 0
3 good-leaf-12 3.12193 0.88 3.95407 0.068448 0.0232558 0.103384 1 0
3 good-leaf-13 3.32193 0.9 4.32456 0.136896 0.0465116 0.206767 1 0
3 good-leaf-14 2.92193 0.86 3.58359 0.120412 0.0444444 0.17134 1 0
3 evil-leaf-15 3.12193 0.88 3.95407 0.068448 0.0232558 0.103384 1 0
3 evil-leaf-16 3.12193 0.88 3.95407 0.060206 0.0222222 0.0856698 1 0
3 gw-1 3.98418 0.93 6.11526 0.0131811 0.00671598 0.0105153 1 0
3 gw-2 3.98418 0.93 6.11526 0.0334175 0.0106383 0.0475166 1 0
3 gw-3 3.72193 0.91 5.5259 0.0745911 0.026738 0.102699 1 0
3 gw-4 4.12193 0.94 6.42033 0.106415 0.0359184 0.158387 1 0
3 gw-5 4.02193 0.935 6.15836 0.0532023 0.0130556 0.0832774 1 0
3 gw-6 4.02193 0.935 6.15836 0.0354629 0.0108108 0.0521199 1 0
3 gw-7 4.12193 0.94 6.42033 0.020936 0.0039645 0.0388472 1 0
3 gw-8 4.14266 0.941828 6.44902 0.0397774 0.0127186 0.054579 1 0
3 gw-9 4.939 0.96384 9.30265 0.0504603 0.00853939 0.0933561 1 0
3 gw-10 4.65306 0.955 8.319 0.0540225 0.00954924 0.0928826 1 0
3 gw-11 4.70306 0.95625 8.50424 0.0105549 0.00106027 0.0217145 1 0
3 gw-12 4.78515 0.959895 8.73985 0.00228482 0.00150874 0.00116594 1 0
3 gw-13 5.30459 0.968442 11.2434 0.0272502 0.00600415 0.0330297 1 0
3 gw-14 5.38061 0.970222 11.4925 0.00105581 0.00106952 4.07741e-05 1 0
3 gw-15 5.86529 0.978009 14.0956 0.0117331 0.000134419 0.0329012 1 0
