Time	entropy1	entropy2	gini1	gini2
1	4.17574	4.36852	0.941399	0.950413
2	4.12193	3.99767	0.94	0.930748
3	3.68188	4.12193	0.914127	0.94
4	3.98418	3.92193	0.93	0.93
5	4.32193	3.82193	0.95	0.925
6	4.22193	4.12193	0.945	0.94
7	4.02193	4.0374	0.935	0.936288
8	4.12193	4.02193	0.94	0.935
9	3.98418	4.22193	0.93	0.945
10	4.08418	4.08418	0.935	0.935
11	3.78418	4.12193	0.92	0.94
12	4.22193	4.22193	0.945	0.945
13	4.24793	4.22193	0.947368	0.945
14	3.98418	4.14266	0.93	0.941828
15	3.92193	3.93214	0.93	0.930748
16	3.52806	3.92193	0.899654	0.93
17	3.72161	4.02193	0.919668	0.935
18	4.12193	4.12193	0.94	0.94
19	4.14266	3.88418	0.941828	0.925
20	3.9477	4.22193	0.932099	0.945
21	4.08418	3.72193	0.935	0.91
22	4.22193	4.22193	0.945	0.945
23	3.88418	3.88418	0.925	0.925
24	4.02193	3.88418	0.935	0.925
25	3.93214	3.82687	0.930748	0.925208
26	3.72193	4.24793	0.91	0.947368
27	3.92193	3.92193	0.93	0.93
28	4.12193	3.88418	0.94	0.925
29	4.12193	3.88418	0.94	0.925
30	4.12193	4.02193	0.94	0.935
31	3.62193	4.02193	0.905	0.935
32	4.32193	4.22193	0.95	0.945
33	4.22193	3.78418	0.945	0.92
34	3.625	4.08418	0.914062	0.935
35	3.92193	3.82193	0.93	0.915
36	3.89241	3.82193	0.925208	0.915
37	4.0374	3.88418	0.936288	0.925
38	3.92193	4.32193	0.93	0.95
39	3.92193	4.16993	0.93	0.944444
40	4.22193	3.78418	0.945	0.92
41	4.02193	4.22193	0.935	0.945
42	4.22193	3.72193	0.945	0.91
43	4.08418	3.89241	0.935	0.925208
44	4.22193	3.92193	0.945	0.93
45	3.72161	3.78418	0.919668	0.92
46	3.64145	3.98418	0.895	0.93
47	3.93214	4.02193	0.930748	0.935
48	4.22193	3.93214	0.945	0.930748
49	4.0374	3.88418	0.936288	0.925
50	3.68418	4.22193	0.915	0.945
51	4.12193	4.14266	0.94	0.941828
52	3.9477	4.22193	0.932099	0.945
53	4.12193	4.12193	0.94	0.94
54	4.02193	4.22193	0.935	0.945
55	4.02193	3.98418	0.935	0.93
56	3.9477	4.12193	0.932099	0.94
57	3.93214	3.74741	0.930748	0.914127
58	4.12193	4.12193	0.94	0.94
59	4.22193	3.82193	0.945	0.915
60	4.02193	3.88418	0.935	0.925
61	4.39232	5.95816	0.952381	0.981037
62	3.88418	5.97963	0.925	0.980434
63	3.68418	5.52794	0.915	0.973966
64	3.72548	6.01463	0.907407	0.982016
65	4.32193	5.95529	0.95	0.980517
66	3.4037	5.79294	0.88	0.977565
67	3.98418	5.9302	0.93	0.979489
68	3.74644	5.61946	0.915	0.974059
69	3.92193	5.69581	0.93	0.976145
70	4.14266	5.69508	0.941828	0.977139
71	4.12193	5.94382	0.94	0.980785
72	4.02193	6.0209	0.935	0.981356
73	3.88418	5.91432	0.925	0.978817
74	4.14266	5.93453	0.941828	0.979268
75	3.92193	5.91456	0.93	0.978882
76	4.22193	5.85838	0.945	0.978321
77	3.93214	5.92732	0.930748	0.98125
78	4.12193	6.12041	0.94	0.981759
79	4.22193	6.01249	0.945	0.979763
80	3.9477	6.00335	0.932099	0.981888
81	3.74644	6.08291	0.915	0.98296
82	3.62193	5.83693	0.905	0.977706
83	3.68354	5.76905	0.91358	0.976502
84	3.92193	5.83082	0.93	0.977166
85	3.88418	5.7215	0.925	0.975577
86	3.20869	5.81966	0.885	0.978792
87	4.02193	5.91307	0.935	0.980972
88	3.93214	5.89647	0.930748	0.978668
89	3.98418	5.76405	0.93	0.977811
90	4.22193	5.46874	0.945	0.969823
91	3.82193	5.80312	0.915	0.978012
92	4.12193	5.71428	0.94	0.977849
93	3.88418	5.85295	0.925	0.98023
94	4.08418	5.89163	0.935	0.978002
95	4.22193	5.64215	0.945	0.972853
96	4.22193	5.94893	0.945	0.979008
97	4.22193	5.96495	0.945	0.98125
98	3.98418	5.99202	0.93	0.980233
99	3.82687	5.84004	0.925208	0.978018
100	4.22193	5.82966	0.945	0.977367
101	3.88418	6.06392	0.925	0.982438
102	4.22193	6.00027	0.945	0.980556
103	3.78418	5.70156	0.92	0.978462
104	3.9477	5.83942	0.932099	0.9775
105	3.89241	5.89319	0.925208	0.979188
106	3.78714	5.8561	0.919668	0.978394
107	3.93214	5.86694	0.930748	0.977946
108	4.22193	5.95316	0.945	0.980285
109	4.32193	5.98414	0.95	0.981122
110	4.12193	6.00068	0.94	0.979126
111	3.88418	6.01759	0.925	0.981009
112	4.02193	5.88197	0.935	0.978038
113	4.12193	5.69783	0.94	0.976012
114	4.12193	5.8961	0.94	0.979994
115	4.0374	5.91542	0.936288	0.978756
116	3.82687	5.77159	0.914127	0.976504
117	3.88418	5.80139	0.925	0.976426
118	4.02193	5.74402	0.935	0.977679
119	3.64215	5.98731	0.908587	0.982045
120	3.72161	5.85353	0.908587	0.979027
121	4.20184	4.27761	0.943311	0.946281
122	4.02193	3.93214	0.935	0.930748
123	4.14266	3.78714	0.941828	0.919668
124	3.82687	3.99767	0.925208	0.930748
125	4.08418	3.88418	0.935	0.925
126	4.22193	4.24793	0.945	0.947368
127	3.64145	3.88418	0.895	0.925
128	4.22193	4.12193	0.945	0.94
129	4.14266	4.14266	0.941828	0.941828
130	3.82193	3.92193	0.915	0.93
131	4.22193	3.98418	0.945	0.93
132	4.12193	4.12193	0.94	0.94
133	4.02193	4.24793	0.935	0.947368
134	3.93214	4.12193	0.930748	0.94
135	4.14266	3.98418	0.941828	0.93
136	4.14266	4.22193	0.941828	0.945
137	4.22193	4.12193	0.945	0.94
138	3.82687	4.02193	0.914127	0.935
139	4.0374	4.02193	0.936288	0.935
140	3.78714	4.0374	0.919668	0.936288
141	3.9477	3.82193	0.932099	0.925
142	3.98418	4.14266	0.93	0.941828
143	3.78418	3.82193	0.92	0.915
144	4.14266	3.93214	0.941828	0.930748
145	3.61635	4.0374	0.903047	0.936288
146	3.9477	3.82193	0.932099	0.915
147	3.92193	4.22193	0.93	0.945
148	3.92193	4.12193	0.92	0.94
149	4.32193	4.16993	0.95	0.944444
