Time Node gini
0 gw-123 0.437045
0 gw-125 0
0 gw-178 0
0 gw-195 0
0 gw-127 0
0 gw-150 0.729971
0 gw-152 0
0 gw-257 0
0 gw-282 0
0 gw-133 0
0 gw-134 0
0 gw-202 0
0 gw-262 0
0 gw-236 0.498615
0 gw-237 0
0 gw-203 0
0 gw-200 0
0 gw-201 0
0 gw-137 0.466392
0 gw-138 0
0 gw-140 0
0 gw-141 0
0 gw-228 0.466392
0 gw-170 0
0 gw-227 0
0 gw-147 0
0 gw-149 0.415225
0 gw-158 0.627824
0 gw-156 0.77258
0 gw-159 0
0 gw-162 0.747755
0 gw-244 0
0 gw-181 0
0 gw-275 0
0 gw-276 0
0 gw-166 0
0 gw-171 0
0 gw-173 0
0 gw-172 0
0 gw-174 0
0 gw-182 0
0 gw-239 0
0 gw-285 0
0 gw-242 0
0 gw-229 0.466392
0 gw-213 0
0 gw-187 0.493827
0 gw-188 0
0 gw-218 0
0 gw-207 0
0 gw-217 0
0 gw-255 0
0 gw-214 0
0 gw-245 0
0 gw-222 0
0 gw-208 0
0 gw-295 0
0 gw-312 0.637346
0 gw-219 0
0 gw-304 0
0 gw-293 0
0 gw-234 0
0 gw-303 0
0 gw-235 0
0 gw-247 0
0 gw-316 0
0 gw-317 0
0 gw-279 0
1 gw-123 0.47625
1 gw-125 0
1 gw-178 0
1 gw-195 0
1 gw-127 0
1 gw-150 0.738715
1 gw-152 0
1 gw-257 0
1 gw-282 0
1 gw-133 0
1 gw-134 0
1 gw-202 0
1 gw-262 0
1 gw-236 0.498615
1 gw-237 0
1 gw-203 0
1 gw-200 0
1 gw-201 0
1 gw-137 0.459184
1 gw-138 0
1 gw-140 0
1 gw-141 0
1 gw-228 0.459184
1 gw-170 0
1 gw-227 0
1 gw-147 0
1 gw-149 0.415225
1 gw-158 0.617788
1 gw-156 0.776789
1 gw-159 0
1 gw-162 0.747922
1 gw-244 0.165289
1 gw-181 0
1 gw-275 0
1 gw-276 0
1 gw-166 0
1 gw-171 0
1 gw-173 0
1 gw-172 0
1 gw-174 0
1 gw-182 0
1 gw-239 0
1 gw-285 0
1 gw-242 0
1 gw-229 0.459184
1 gw-213 0
1 gw-187 0.5
1 gw-188 0
1 gw-218 0
1 gw-207 0
1 gw-217 0
1 gw-255 0
