Time Node gini
0 gw-1 0.23858
0 gw-2 0
0 gw-3 0.580512
0 gw-4 0
0 gw-5 0.601224
0 gw-6 0.733056
0 gw-7 0.426036
1 gw-1 0.21875
1 gw-2 0
1 gw-3 0.574184
1 gw-4 0
1 gw-5 0.608797
1 gw-6 0.736455
1 gw-7 0.165289
2 gw-1 0.21875
2 gw-2 0
2 gw-3 0.576023
2 gw-4 0
2 gw-5 0.619869
2 gw-6 0.736709
2 gw-7 0.515556
3 gw-1 0.221118
3 gw-2 0
3 gw-3 0.575562
3 gw-4 0
3 gw-5 0.62909
3 gw-6 0.739586
3 gw-7 0.497778
4 gw-1 0.231111
4 gw-2 0
4 gw-3 0.576023
4 gw-4 0
4 gw-5 0.599909
4 gw-6 0.734863
4 gw-7 0.35503
5 gw-1 0.21875
5 gw-2 0
5 gw-3 0.572778
5 gw-4 0
5 gw-5 0.621639
5 gw-6 0.736021
5 gw-7 0.291667
6 gw-1 0.239198
6 gw-2 0
6 gw-3 0.577025
6 gw-4 0
6 gw-5 0.629782
6 gw-6 0.735621
6 gw-7 0.438776
7 gw-1 0.21875
7 gw-2 0
7 gw-3 0.577168
7 gw-4 0
7 gw-5 0.628248
7 gw-6 0.736328
7 gw-7 0.438776
8 gw-1 0.226008
8 gw-2 0
8 gw-3 0.577328
8 gw-4 0
8 gw-5 0.601562
8 gw-6 0.737515
8 gw-7 0.378698
9 gw-1 0.233747
9 gw-2 0
9 gw-3 0.579076
9 gw-4 0
9 gw-5 0.600518
9 gw-6 0.737793
9 gw-7 0.165289
10 gw-1 0.525113
10 gw-2 0.10549
10 gw-3 0.680324
10 gw-4 0.126799
10 gw-5 0.728526
10 gw-6 0.801686
10 gw-7 0.340265
11 gw-1 0.460922
11 gw-2 0.0936689
11 gw-3 0.664709
11 gw-4 0.110119
11 gw-5 0.704033
11 gw-6 0.783637
11 gw-7 0.393734
12 gw-1 0.505829
12 gw-2 0.0945521
12 gw-3 0.685757
12 gw-4 0.109519
12 gw-5 0.739801
12 gw-6 0.806539
12 gw-7 0.32
13 gw-1 0.490483
13 gw-2 0.0932334
13 gw-3 0.689365
13 gw-4 0.109519
13 gw-5 0.733906
13 gw-6 0.797168
13 gw-7 0.369822
14 gw-1 0.4918
14 gw-2 0.0954521
14 gw-3 0.650218
14 gw-4 0.113866
14 gw-5 0.684694
14 gw-6 0.768289
14 gw-7 0.32
15 gw-1 0.508059
15 gw-2 0.0954521
15 gw-3 0.663675
15 gw-4 0.115836
15 gw-5 0.721003
15 gw-6 0.796925
15 gw-7 0.369822
16 gw-1 0.471939
16 gw-2 0.0932334
16 gw-3 0.627813
16 gw-4 0.110727
16 gw-5 0.698722
16 gw-6 0.774523
16 gw-7 0.32
17 gw-1 0.4622
17 gw-2 0.0941084
17 gw-3 0.643862
17 gw-4 0.109519
17 gw-5 0.722372
17 gw-6 0.796871
17 gw-7 0.32
18 gw-1 0.44945
18 gw-2 0.0941084
18 gw-3 0.67478
18 gw-4 0.114515
18 gw-5 0.744738
18 gw-6 0.805986
18 gw-7 0.393022
19 gw-1 0.40045
19 gw-2 0.095
19 gw-3 0.647969
19 gw-4 0.112589
19 gw-5 0.684028
19 gw-6 0.771762
19 gw-7 0.32
