Time Node interest
0 10 /p/good/good-leaf-2/%FE%09?ndn.Nonce=3911074054
0 12 /p/good/good-leaf-4/%FE%15?ndn.Nonce=3262372769
0 13 /p/good/good-leaf-5/%FE%0A?ndn.Nonce=2108180232
0.0100416 2 /p/good/good-leaf-2/%FE%09?ndn.Nonce=3911074054
0.0100416 3 /p/good/good-leaf-4/%FE%15?ndn.Nonce=3262372769
0.0100416 7 /p/good/good-leaf-5/%FE%0A?ndn.Nonce=2108180232
0.0200832 4 /p/good/good-leaf-2/%FE%09?ndn.Nonce=3911074054
0.0200832 5 /p/good/good-leaf-4/%FE%15?ndn.Nonce=3262372769
0.0200832 0 /p/good/good-leaf-5/%FE%0A?ndn.Nonce=2108180232
0.0301248 6 /p/good/good-leaf-2/%FE%09?ndn.Nonce=3911074054
0.0301248 6 /p/good/good-leaf-4/%FE%15?ndn.Nonce=3262372769
0.0401664 8 /p/good/good-leaf-2/%FE%09?ndn.Nonce=3911074054
0.040208 8 /p/good/good-leaf-4/%FE%15?ndn.Nonce=3262372769
0.050208 1 /p/good/good-leaf-2/%FE%09?ndn.Nonce=3911074054
0.0502496 1 /p/good/good-leaf-4/%FE%15?ndn.Nonce=3262372769
0.1 10 /p/good/good-leaf-2/%FE%0C?ndn.Nonce=2369863103
0.1 12 /p/good/good-leaf-4/%FEM?ndn.Nonce=3959030874
0.1 13 /p/good/good-leaf-5/%FE_?ndn.Nonce=1985589146
0.110042 2 /p/good/good-leaf-2/%FE%0C?ndn.Nonce=2369863103
0.110042 3 /p/good/good-leaf-4/%FEM?ndn.Nonce=3959030874
0.110042 7 /p/good/good-leaf-5/%FE_?ndn.Nonce=1985589146
0.120083 4 /p/good/good-leaf-2/%FE%0C?ndn.Nonce=2369863103
0.120083 5 /p/good/good-leaf-4/%FEM?ndn.Nonce=3959030874
0.120083 0 /p/good/good-leaf-5/%FE_?ndn.Nonce=1985589146
0.130125 6 /p/good/good-leaf-2/%FE%0C?ndn.Nonce=2369863103
0.130125 6 /p/good/good-leaf-4/%FEM?ndn.Nonce=3959030874
0.140166 8 /p/good/good-leaf-2/%FE%0C?ndn.Nonce=2369863103
0.140208 8 /p/good/good-leaf-4/%FEM?ndn.Nonce=3959030874
0.150208 1 /p/good/good-leaf-2/%FE%0C?ndn.Nonce=2369863103
0.15025 1 /p/good/good-leaf-4/%FEM?ndn.Nonce=3959030874
0.2 10 /p/good/good-leaf-2/%FE%02?ndn.Nonce=1645723821
0.2 12 /p/good/good-leaf-4/%FE%02?ndn.Nonce=2114710483
0.2 13 /p/good/good-leaf-5/%FE%19?ndn.Nonce=3590838801
0.210042 2 /p/good/good-leaf-2/%FE%02?ndn.Nonce=1645723821
0.210042 3 /p/good/good-leaf-4/%FE%02?ndn.Nonce=2114710483
0.210042 7 /p/good/good-leaf-5/%FE%19?ndn.Nonce=3590838801
0.220083 4 /p/good/good-leaf-2/%FE%02?ndn.Nonce=1645723821
0.220083 5 /p/good/good-leaf-4/%FE%02?ndn.Nonce=2114710483
0.220083 0 /p/good/good-leaf-5/%FE%19?ndn.Nonce=3590838801
0.230125 6 /p/good/good-leaf-2/%FE%02?ndn.Nonce=1645723821
0.230125 6 /p/good/good-leaf-4/%FE%02?ndn.Nonce=2114710483
0.240166 8 /p/good/good-leaf-2/%FE%02?ndn.Nonce=1645723821
0.240208 8 /p/good/good-leaf-4/%FE%02?ndn.Nonce=2114710483
0.250208 1 /p/good/good-leaf-2/%FE%02?ndn.Nonce=1645723821
0.25025 1 /p/good/good-leaf-4/%FE%02?ndn.Nonce=2114710483
0.3 10 /p/good/good-leaf-2/%FE%26?ndn.Nonce=3521946681
0.3 12 /p/good/good-leaf-4/%FE%09?ndn.Nonce=3474421966
0.3 13 /p/good/good-leaf-5/%FE%06?ndn.Nonce=4169923491
0.310042 2 /p/good/good-leaf-2/%FE%26?ndn.Nonce=3521946681
0.310042 3 /p/good/good-leaf-4/%FE%09?ndn.Nonce=3474421966
0.310042 7 /p/good/good-leaf-5/%FE%06?ndn.Nonce=4169923491
0.320083 4 /p/good/good-leaf-2/%FE%26?ndn.Nonce=3521946681
0.320083 5 /p/good/good-leaf-4/%FE%09?ndn.Nonce=3474421966
0.320083 0 /p/good/good-leaf-5/%FE%06?ndn.Nonce=4169923491
0.330125 6 /p/good/good-leaf-2/%FE%26?ndn.Nonce=3521946681
0.330125 6 /p/good/good-leaf-4/%FE%09?ndn.Nonce=3474421966
0.340166 8 /p/good/good-leaf-2/%FE%26?ndn.Nonce=3521946681
0.340208 8 /p/good/good-leaf-4/%FE%09?ndn.Nonce=3474421966
0.350208 1 /p/good/good-leaf-2/%FE%26?ndn.Nonce=3521946681
0.35025 1 /p/good/good-leaf-4/%FE%09?ndn.Nonce=3474421966
0.4 10 /p/good/good-leaf-2/%FE%13?ndn.Nonce=471669802
0.4 12 /p/good/good-leaf-4/%FET?ndn.Nonce=2922180934
0.4 13 /p/good/good-leaf-5/%FE%03?ndn.Nonce=3780910028
0.410042 2 /p/good/good-leaf-2/%FE%13?ndn.Nonce=471669802
0.410042 3 /p/good/good-leaf-4/%FET?ndn.Nonce=2922180934
0.410042 7 /p/good/good-leaf-5/%FE%03?ndn.Nonce=3780910028
0.420083 4 /p/good/good-leaf-2/%FE%13?ndn.Nonce=471669802
0.420083 5 /p/good/good-leaf-4/%FET?ndn.Nonce=2922180934
0.420083 0 /p/good/good-leaf-5/%FE%03?ndn.Nonce=3780910028
0.430125 6 /p/good/good-leaf-2/%FE%13?ndn.Nonce=471669802
0.430125 6 /p/good/good-leaf-4/%FET?ndn.Nonce=2922180934
0.440166 8 /p/good/good-leaf-2/%FE%13?ndn.Nonce=471669802
0.440208 8 /p/good/good-leaf-4/%FET?ndn.Nonce=2922180934
0.450208 1 /p/good/good-leaf-2/%FE%13?ndn.Nonce=471669802
0.45025 1 /p/good/good-leaf-4/%FET?ndn.Nonce=2922180934
0.5 10 /p/good/good-leaf-2/%FE%13?ndn.Nonce=2273949020
0.5 12 /p/good/good-leaf-4/%FEZ?ndn.Nonce=4223920607
0.5 13 /p/good/good-leaf-5/%FE%02?ndn.Nonce=2562246910
0.510042 3 /p/good/good-leaf-4/%FEZ?ndn.Nonce=4223920607
0.510042 7 /p/good/good-leaf-5/%FE%02?ndn.Nonce=2562246910
0.520083 5 /p/good/good-leaf-4/%FEZ?ndn.Nonce=4223920607
0.520083 0 /p/good/good-leaf-5/%FE%02?ndn.Nonce=2562246910
0.530125 6 /p/good/good-leaf-4/%FEZ?ndn.Nonce=4223920607
0.540166 8 /p/good/good-leaf-4/%FEZ?ndn.Nonce=4223920607
0.550208 1 /p/good/good-leaf-4/%FEZ?ndn.Nonce=4223920607
0.6 10 /p/good/good-leaf-2/%FE4?ndn.Nonce=2325138250
0.6 12 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=4229771315
0.6 13 /p/good/good-leaf-5/%FE%06?ndn.Nonce=3916416102
0.610042 2 /p/good/good-leaf-2/%FE4?ndn.Nonce=2325138250
0.610042 3 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=4229771315
0.610042 7 /p/good/good-leaf-5/%FE%06?ndn.Nonce=3916416102
0.620083 4 /p/good/good-leaf-2/%FE4?ndn.Nonce=2325138250
0.620083 5 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=4229771315
0.620083 0 /p/good/good-leaf-5/%FE%06?ndn.Nonce=3916416102
0.630125 6 /p/good/good-leaf-2/%FE4?ndn.Nonce=2325138250
0.630125 6 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=4229771315
0.640166 8 /p/good/good-leaf-2/%FE4?ndn.Nonce=2325138250
0.640208 8 /p/good/good-leaf-4/%FE%1C?ndn.Nonce=4229771315
