Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	prod-bb-1	1	internal://	InInterests	0	0	0	0
1	prod-bb-1	1	internal://	OutInterests	0	0	0	0
1	prod-bb-1	1	internal://	InData	0	0	0	0
1	prod-bb-1	1	internal://	OutData	0	0	0	0
1	prod-bb-1	1	internal://	InNacks	0	0	0	0
1	prod-bb-1	1	internal://	OutNacks	0	0	0	0
1	prod-bb-1	1	internal://	InSatisfiedInterests	0	0	0	0
1	prod-bb-1	1	internal://	InTimedOutInterests	0	0	0	0
1	prod-bb-1	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	prod-bb-1	1	internal://	OutTimedOutInterests	0	0	0	0
1	prod-bb-1	256	netdev://[00:00:00:00:00:18]	InInterests	8	0.28125	10	0.351562
1	prod-bb-1	256	netdev://[00:00:00:00:00:18]	OutInterests	0	0	0	0
1	prod-bb-1	256	netdev://[00:00:00:00:00:18]	InData	0	0	0	0
1	prod-bb-1	256	netdev://[00:00:00:00:00:18]	OutData	8	8.35938	10	10.4492
1	prod-bb-1	256	netdev://[00:00:00:00:00:18]	InNacks	0	0	0	0
1	prod-bb-1	256	netdev://[00:00:00:00:00:18]	OutNacks	0	0	0	0
1	prod-bb-1	256	netdev://[00:00:00:00:00:18]	InSatisfiedInterests	8	0	10	0
1	prod-bb-1	256	netdev://[00:00:00:00:00:18]	InTimedOutInterests	0	0	0	0
1	prod-bb-1	256	netdev://[00:00:00:00:00:18]	OutSatisfiedInterests	0	0	0	0
1	prod-bb-1	256	netdev://[00:00:00:00:00:18]	OutTimedOutInterests	0	0	0	0
1	prod-bb-1	257	internal://	InInterests	0	0	0	0
1	prod-bb-1	257	internal://	OutInterests	0	0	0	0
1	prod-bb-1	257	internal://	InData	0	0	0	0
1	prod-bb-1	257	internal://	OutData	0	0	0	0
1	prod-bb-1	257	internal://	InNacks	0	0	0	0
1	prod-bb-1	257	internal://	OutNacks	0	0	0	0
1	prod-bb-1	257	internal://	InSatisfiedInterests	1.6	0	2	0
1	prod-bb-1	257	internal://	InTimedOutInterests	0	0	0	0
1	prod-bb-1	257	internal://	OutSatisfiedInterests	0	0	0	0
1	prod-bb-1	257	internal://	OutTimedOutInterests	0	0	0	0
1	prod-bb-1	258	appFace://	InInterests	0	0	0	0
1	prod-bb-1	258	appFace://	OutInterests	8	0.28125	10	0.351562
1	prod-bb-1	258	appFace://	InData	8	8.35938	10	10.4492
1	prod-bb-1	258	appFace://	OutData	0	0	0	0
1	prod-bb-1	258	appFace://	InNacks	0	0	0	0
1	prod-bb-1	258	appFace://	OutNacks	0	0	0	0
1	prod-bb-1	258	appFace://	InSatisfiedInterests	0	0	0	0
1	prod-bb-1	258	appFace://	InTimedOutInterests	0	0	0	0
1	prod-bb-1	258	appFace://	OutSatisfiedInterests	8	0	10	0
1	prod-bb-1	258	appFace://	OutTimedOutInterests	0	0	0	0
1	prod-bb-1	-1	all	SatisfiedInterests	9.6	0	12	0
1	prod-bb-1	-1	all	TimedOutInterests	0	0	0	0
1	prod-bb-2	1	internal://	InInterests	0	0	0	0
1	prod-bb-2	1	internal://	OutInterests	0	0	0	0
1	prod-bb-2	1	internal://	InData	0	0	0	0
1	prod-bb-2	1	internal://	OutData	0	0	0	0
1	prod-bb-2	1	internal://	InNacks	0	0	0	0
1	prod-bb-2	1	internal://	OutNacks	0	0	0	0
1	prod-bb-2	1	internal://	InSatisfiedInterests	0	0	0	0
1	prod-bb-2	1	internal://	InTimedOutInterests	0	0	0	0
1	prod-bb-2	1	internal://	OutSatisfiedInterests	1.6	0	2	0
1	prod-bb-2	1	internal://	OutTimedOutInterests	0	0	0	0
1	prod-bb-2	256	netdev://[00:00:00:00:00:1e]	InInterests	15.2	0.534375	19	0.667969
1	prod-bb-2	256	netdev://[00:00:00:00:00:1e]	OutInterests	0	0	0	0
1	prod-bb-2	256	netdev://[00:00:00:00:00:1e]	InData	0	0	0	0
1	prod-bb-2	256	netdev://[00:00:00:00:00:1e]	OutData	15.2	15.8828	19	19.8535
1	prod-bb-2	256	netdev://[00:00:00:00:00:1e]	InNacks	0	0	0	0
1	prod-bb-2	256	netdev://[00:00:00:00:00:1e]	OutNacks	0	0	0	0
1	prod-bb-2	256	netdev://[00:00:00:00:00:1e]	InSatisfiedInterests	15.2	0	19	0
